ID,%,Título,Estado,Departamento,Estrutura,Marcadores,Data Inicial,Data Final,Parecer Final
72035,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | COORD POS-GRAD HISTPOPULACOES AMAZONICAS - CPN (UA)",pat_aprovado,COORD POS-GRAD HISTPOPULACOES AMAZONICAS - CPN (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
72030,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | COORD. CURSO POS-GRADUACAO LETRAS/PORTO - CPN (UA)",pat_aprovado,COORD. CURSO POS-GRADUACAO LETRAS/PORTO - CPN (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63875,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação de Curso de Educação Física - Miracema (UA)",pat_aprovado,Coordenação de Curso de Educação Física - Miracema (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63870,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação de Curso de Relações Internacionais - Porto Nacional (UA)",pat_aprovado,Coordenação de Curso de Relações Internacionais - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63740,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Administração - Palmas (UA)",pat_aprovado,Coordenação do Curso de Administração - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63745,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Arquitetura e Urbanismo - Palmas (UA)",pat_aprovado,Coordenação do Curso de Arquitetura e Urbanismo - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63815,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Artes - Teatro - Palmas (UA)",pat_aprovado,Coordenação do Curso de Artes - Teatro - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
74465,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado em Biotecnologia - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Bacharelado em Biotecnologia - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63715,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado em Engenharia Agronômica - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Bacharelado em Engenharia Agronômica - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63845,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado em Engenharia de Bioprocessos e Biotecnologia - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Bacharelado em Engenharia de Bioprocessos e Biotecnologia - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63855,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado em Engenharia Florestal - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Bacharelado em Engenharia Florestal - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
